$ sh -c pmset -g log | grep -E "Sleep|Wake|DarkWake|Display is turned|Notification" | tail -400
2026-09-15 03:37:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 10:06:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 03:37:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 14:13:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 03:37:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 91:03:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 03:37:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 128:16:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 03:42:32 -0400 Assertions          	PID 31954(AddressBookSourceSync) Released PreventUserIdleSystemSleep "Address Book Source Sync" 00:00:30  id:0x0x100009307 [System: PrevIdle]          
2026-09-15 03:52:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 10:21:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 03:52:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 14:28:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 03:52:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 91:18:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 03:52:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 128:31:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 04:07:34 -0400 Assertions          	PID 65057(photolibraryd) Summary PreventUserIdleSystemSleep "Photos Migration" 00:00:00  id:0x0x1000091a0 [System: PrevIdle]          
2026-09-15 04:07:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 10:36:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 04:07:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 14:43:50  id:0x0x100008f48 [System: PrevIdle]          
